sid,basin,sphere,season,year,month,day,hour,lat,lon,lmi,occurtime
1978151N15260,EP,NH,1978,1978,5,31,0,16.2,-101.0,40,150.0
1978168N11242,EP,NH,1978,1978,6,17,12,12.4,-120.76,75,167.5
1978168N14254,EP,NH,1978,1978,6,20,6,11.84,-115.37,75,170.25
1978173N25274,NA,NH,1978,1978,6,21,18,25.6,-85.8,30,171.75
1978178N14260,EP,NH,1978,1978,6,28,12,16.58,-107.7,65,178.5
1978181N14235,EP,NH,1978,1978,7,2,0,12.6,-132.64,55,182.0
1978188N15248,EP,NH,1978,1978,7,9,0,18.0,-119.2,65,189.0
1978190N11254,EP,NH,1978,1978,7,15,18,15.6,-128.36,125,195.75
1978192N15333,NA,NH,1978,1978,7,10,0,15.5,-29.7,25,190.0
1978194N11261,EP,NH,1978,1978,7,16,12,14.96,-112.9,95,196.5
1978203N13260,EP,NH,1978,1978,7,24,18,16.03,-108.85,145,204.75
1978212N26263,NA,NH,1978,1978,7,31,0,26.4,-97.4,30,211.0
1978218N25270,NA,NH,1978,1978,8,8,0,21.1,-96.8,60,219.0
1978220N13308,NA,NH,1978,1978,8,8,18,13.0,-62.5,45,219.75
1978220N13325,NA,NH,1978,1978,8,9,0,13.85,-44.85,65,220.0
1978222N27270,NA,NH,1978,1978,8,10,0,27.6,-89.9,35,221.0
1978223N18252,EP,NH,1978,1978,8,12,18,19.4,-113.78,55,223.75
1978230N12239,EP,NH,1978,1978,8,21,12,13.75,-129.84,105,232.5
1978231N13224,EP,NH,1978,1978,8,20,12,14.5,-142.23,80,231.5
1978231N14251,EP,NH,1978,1978,8,21,6,17.34,-116.93,130,232.25
1978236N11245,EP,NH,1978,1978,8,28,0,13.02,-140.0,70,239.0
1978239N23272,NA,NH,1978,1978,8,27,0,24.4,-90.4,35,238.0
1978242N26300,NA,NH,1978,1978,9,2,0,31.15,-72.76,110,244.0
1978243N13262,EP,NH,1978,1978,9,2,0,16.85,-107.27,125,244.0
1978243N28269,NA,NH,1978,1978,8,30,0,27.8,-91.0,25,241.0
1978247N12321,NA,NH,1978,1978,9,13,0,31.85,-42.84,100,255.0
1978247N14344,NA,NH,1978,1978,9,5,0,13.4,-23.7,50,247.0
1978251N12261,EP,NH,1978,1978,9,8,12,12.8,-100.2,35,250.5
1978252N23266,NA,NH,1978,1978,9,10,0,23.7,-97.0,55,252.0
1978255N30280,NA,NH,1978,1978,9,16,0,31.0,-60.3,40,258.0
1978257N11298,NA,NH,1978,1978,9,18,6,15.85,-84.35,140,260.25
1978262N13344,NA,NH,1978,1978,9,21,12,13.0,-32.0,65,263.5
