sid,basin,sphere,season,year,month,day,hour,lat,lon,lmi,sshs,occurtime
1851175N26270,NA,NH,1851,1851,6,25,0,28.0,-94.8,80,1,175.0
1851228N13313,NA,NH,1851,1851,8,23,0,27.4,-86.5,100,3,234.0
1851256N33287,NA,NH,1851,1851,9,13,0,32.5,-73.5,50,0,255.0
1851289N29282,NA,NH,1851,1851,10,17,0,30.7,-76.6,60,0,289.0
1852232N21293,NA,NH,1852,1852,8,24,0,26.7,-86.0,100,3,236.0
1852247N14309,NA,NH,1852,1852,9,9,0,26.4,-90.4,70,1,252.0
1852249N17296,NA,NH,1852,1852,9,5,0,17.0,-64.1,70,1,248.0
1852264N13309,NA,NH,1852,1852,9,25,0,19.5,-67.4,80,1,268.0
1852278N14293,NA,NH,1852,1852,10,6,0,17.0,-73.8,90,2,279.0
1853242N12336,NA,NH,1853,1853,9,3,6,19.1,-54.6,130,4,245.25
1853251N37307,NA,NH,1853,1853,9,8,0,37.0,-53.0,100,3,250.0
1853269N26298,NA,NH,1853,1853,9,27,12,36.0,-59.8,70,1,269.5
1853291N32280,NA,NH,1853,1853,10,20,12,30.0,-80.5,90,2,292.5
1854176N26268,NA,NH,1854,1854,6,25,12,26.0,-93.5,70,1,175.5
1854246N25300,NA,NH,1854,1854,9,7,0,26.4,-76.6,110,3,249.0
1854259N24266,NA,NH,1854,1854,9,18,0,28.2,-93.6,90,2,260.0
1854293N25292,NA,NH,1854,1854,10,21,0,28.6,-67.3,60,0,293.0
1855222N44318,NA,NH,1855,1855,8,10,0,44.0,-42.0,90,2,221.0
1855236N12304,NA,NH,1855,1855,8,25,0,12.8,-60.7,60,0,236.0
1855252N20274,NA,NH,1855,1855,9,16,0,28.8,-89.5,110,3,258.0
1856221N25277,NA,NH,1856,1856,8,10,12,28.7,-90.5,130,4,222.5
1856226N11308,NA,NH,1856,1856,8,13,0,12.1,-56.1,70,1,225.0
1856232N33285,NA,NH,1856,1856,8,19,0,32.5,-75.5,50,0,231.0
1856235N13302,NA,NH,1856,1856,8,30,0,25.2,-87.1,100,3,242.0
1856254N09333,NA,NH,1856,1856,9,19,12,35.6,-51.0,70,1,262.5
1857181N34286,NA,NH,1857,1857,6,30,0,34.0,-74.5,50,0,180.0
1857249N27286,NA,NH,1857,1857,9,11,0,31.2,-77.4,90,2,253.0
1857265N33287,NA,NH,1857,1857,9,22,0,32.5,-73.5,70,1,264.0
1857267N16305,NA,NH,1857,1857,9,28,0,19.0,-82.9,90,2,270.0
1858254N21273,NA,NH,1858,1858,9,15,18,32.4,-77.3,90,2,257.75
1858260N18319,NA,NH,1858,1858,9,17,0,18.4,-41.4,80,1,259.0
1858266N22286,NA,NH,1858,1858,9,24,12,33.3,-73.8,80,1,266.5
1858291N21287,NA,NH,1858,1858,10,24,0,31.0,-66.3,90,2,296.0
1859224N28287,NA,NH,1859,1859,8,17,0,38.5,-67.0,90,2,228.0
1859245N17300,NA,NH,1859,1859,9,2,0,17.3,-59.7,70,1,244.0
1859249N11324,NA,NH,1859,1859,9,12,6,35.5,-57.5,90,2,254.25
1859253N21275,NA,NH,1859,1859,9,15,0,28.0,-89.0,70,1,257.0
1859273N17289,NA,NH,1859,1859,10,4,12,28.8,-72.0,110,3,276.5
1859289N25285,NA,NH,1859,1859,10,16,0,25.1,-75.1,60,0,288.0
1859297N20267,NA,NH,1859,1859,10,26,18,22.0,-92.5,80,1,298.75
1860221N28276,NA,NH,1860,1860,8,11,12,28.4,-90.3,110,3,223.5
1860237N28283,NA,NH,1860,1860,8,25,12,35.8,-72.1,90,2,237.5
1860252N18284,NA,NH,1860,1860,9,11,0,25.1,-83.8,90,2,254.0
1860262N22294,NA,NH,1860,1860,9,19,12,26.0,-70.0,60,0,262.5
1860269N20266,NA,NH,1860,1860,10,2,6,27.6,-91.9,90,2,275.25
1860289N14290,NA,NH,1860,1860,10,23,0,30.8,-72.9,90,2,296.0
1861185N15303,NA,NH,1861,1861,7,10,12,28.7,-70.0,90,2,190.5
1861226N21290,NA,NH,1861,1861,8,15,0,23.2,-78.7,80,1,226.0
1861237N35296,NA,NH,1861,1861,8,29,0,42.5,-44.7,90,2,240.0
1861270N29283,NA,NH,1861,1861,9,27,6,28.5,-77.5,70,1,269.25
1861279N20314,NA,NH,1861,1861,10,6,0,20.0,-46.0,60,0,278.0
1861305N26278,NA,NH,1861,1861,11,2,0,31.2,-78.6,70,1,305.0
1862166N32284,NA,NH,1862,1862,6,15,0,32.0,-75.6,50,0,165.0
1862229N24294,NA,NH,1862,1862,8,18,0,28.8,-71.5,90,2,229.0
1862251N15325,NA,NH,1862,1862,9,15,0,26.6,-69.0,90,2,257.0
1862287N33290,NA,NH,1862,1862,10,14,0,33.0,-69.6,70,1,286.0
1862326N11280,NA,NH,1862,1862,11,22,0,10.5,-79.5,60,0,325.0
1863220N38309,NA,NH,1863,1863,8,8,0,37.7,-50.8,90,2,219.0
1863230N39302,NA,NH,1863,1863,8,18,0,39.4,-58.5,90,2,229.0
1863231N27293,NA,NH,1863,1863,8,20,12,30.5,-72.6,90,2,231.5
1863239N31281,NA,NH,1863,1863,8,27,0,29.5,-75.5,90,2,238.0
1863248N11308,NA,NH,1863,1863,9,9,12,20.2,-62.0,70,1,251.5
1863255N15300,NA,NH,1863,1863,9,17,0,27.0,-79.4,60,0,259.0
1863262N23264,NA,NH,1863,1863,9,18,12,22.5,-96.5,50,0,260.5
1863270N21267,NA,NH,1863,1863,9,29,0,28.5,-95.7,60,0,271.0
1863270N31290,NA,NH,1863,1863,9,26,12,31.1,-70.1,50,0,268.5
1864197N35285,NA,NH,1864,1864,7,16,0,30.8,-76.0,70,1,197.0
1864239N15306,NA,NH,1864,1864,8,26,0,14.8,-54.5,70,1,238.0
1864249N33288,NA,NH,1864,1864,9,5,0,33.0,-72.5,50,0,248.0
1864296N29288,NA,NH,1864,1864,10,23,12,35.5,-72.5,70,1,296.5
1865232N30282,NA,NH,1865,1865,8,22,12,34.0,-75.0,60,0,233.5
1865247N13318,NA,NH,1865,1865,9,6,0,16.0,-55.5,90,2,248.0
1865287N11303,NA,NH,1865,1865,10,22,12,20.0,-83.0,90,2,294.5
1866193N27271,NA,NH,1866,1866,7,11,12,28.0,-87.3,90,2,191.5
1866225N14298,NA,NH,1866,1866,8,13,0,14.7,-62.6,90,2,224.0
1866247N33292,NA,NH,1866,1866,9,4,0,33.0,-68.1,70,1,246.0
1866263N36292,NA,NH,1866,1866,9,22,0,40.0,-62.5,90,2,264.0
1866264N11342,NA,NH,1866,1866,10,1,12,22.5,-75.0,120,4,273.5
1866302N33285,NA,NH,1866,1866,10,29,18,33.7,-75.4,60,0,301.75
1867172N28280,NA,NH,1867,1867,6,22,6,31.8,-79.9,70,1,172.25
1867209N18303,NA,NH,1867,1867,8,1,12,32.0,-76.5,90,2,212.5
1867243N31288,NA,NH,1867,1867,8,31,0,30.8,-71.6,70,1,242.0
1867268N18278,NA,NH,1867,1867,10,2,0,23.5,-96.5,90,2,274.0
1867272N30286,NA,NH,1867,1867,9,30,12,35.0,-73.6,90,2,272.5
1867300N19310,NA,NH,1867,1867,10,29,12,18.6,-63.3,110,3,301.5
1868240N16327,NA,NH,1868,1868,9,6,0,39.2,-65.0,90,2,249.0
1868275N27265,NA,NH,1868,1868,10,7,12,44.0,-57.5,70,-4,280.5
1868278N14280,NA,NH,1868,1868,10,5,0,17.0,-80.6,90,2,278.0
1868289N26287,NA,NH,1868,1868,10,17,0,33.5,-70.6,90,2,290.0
1869224N41313,NA,NH,1869,1869,8,12,0,40.5,-47.5,90,2,223.0
1869226N20276,NA,NH,1869,1869,8,16,0,27.0,-91.6,90,2,227.0
1869239N33313,NA,NH,1869,1869,8,27,0,32.7,-46.7,70,1,238.0
1869244N28287,NA,NH,1869,1869,9,2,0,30.3,-69.0,60,0,244.0
1869245N20288,NA,NH,1869,1869,9,8,0,31.3,-74.0,100,3,250.0
1869247N26271,NA,NH,1869,1869,9,4,0,26.2,-88.4,70,1,246.0
1869253N10328,NA,NH,1869,1869,9,12,12,13.6,-45.5,90,2,254.5
1869270N18308,NA,NH,1869,1869,10,4,0,31.5,-75.5,90,2,276.0
1870238N14310,NA,NH,1870,1870,9,2,0,31.1,-69.5,90,2,244.0
1870242N13338,NA,NH,1870,1870,9,11,0,35.4,-64.1,110,3,253.0
1870260N30292,NA,NH,1870,1870,9,17,0,30.2,-68.1,80,1,259.0
1870278N18286,NA,NH,1870,1870,10,7,12,22.1,-81.6,100,3,279.5
1870280N10331,NA,NH,1870,1870,10,7,12,12.0,-35.0,70,1,279.5
1870290N15279,NA,NH,1870,1870,10,19,0,19.5,-84.1,90,2,291.0
1870300N14283,NA,NH,1870,1870,10,31,0,17.4,-86.4,70,1,303.0
1871152N24279,NA,NH,1871,1871,6,2,0,25.2,-85.4,50,0,152.0
1871224N26291,NA,NH,1871,1871,8,15,12,26.8,-76.7,100,3,226.5
1871229N11329,NA,NH,1871,1871,8,21,0,16.4,-60.0,100,3,232.0
1871239N24298,NA,NH,1871,1871,8,30,0,26.7,-65.6,90,2,241.0
1871247N28277,NA,NH,1871,1871,9,5,0,26.0,-90.1,70,1,247.0
1871271N19269,NA,NH,1871,1871,10,2,0,25.9,-95.4,70,1,274.0
1871283N23302,NA,NH,1871,1871,10,10,0,22.7,-58.0,70,1,282.0
1872191N25268,NA,NH,1872,1872,7,10,0,25.7,-90.8,50,0,191.0
1872233N14334,NA,NH,1872,1872,8,29,0,27.9,-61.8,90,2,241.0
1872253N13301,NA,NH,1872,1872,9,12,0,21.6,-63.8,70,1,255.0
1872274N13328,NA,NH,1872,1872,10,3,0,22.0,-43.8,70,1,276.0
1872296N23271,NA,NH,1872,1872,10,24,12,32.6,-78.2,70,1,297.5
1873152N24281,NA,NH,1873,1873,6,1,6,24.2,-78.8,40,0,151.25
1873225N14335,NA,NH,1873,1873,8,23,0,35.2,-68.0,100,3,234.0
1873256N13296,NA,NH,1873,1873,9,18,0,22.7,-89.9,70,1,260.0
1873265N22274,NA,NH,1873,1873,9,23,0,26.0,-84.1,50,0,265.0
1873269N13303,NA,NH,1873,1873,9,28,12,18.0,-73.0,100,3,270.5
1874183N26275,NA,NH,1874,1874,7,3,0,27.4,-88.3,50,0,183.0
1874215N25306,NA,NH,1874,1874,8,5,0,33.5,-60.3,70,1,216.0
1874241N14326,NA,NH,1874,1874,9,6,0,32.3,-65.6,80,1,248.0
1874245N20265,NA,NH,1874,1874,9,4,0,23.9,-97.1,50,0,246.0
1874251N26289,NA,NH,1874,1874,9,8,0,25.8,-70.6,50,0,250.0
1874268N18274,NA,NH,1874,1874,9,28,18,32.8,-80.0,80,1,270.75
1874304N14283,NA,NH,1874,1874,11,2,0,17.7,-77.2,90,2,305.0
1875228N31284,NA,NH,1875,1875,8,16,0,29.5,-74.5,70,1,227.0
1875243N14330,NA,NH,1875,1875,9,3,0,13.4,-47.5,70,1,245.0
1875246N12333,NA,NH,1875,1875,9,16,12,27.1,-96.1,100,3,258.5
1875267N23267,NA,NH,1875,1875,9,25,0,26.3,-95.1,50,0,267.0
1875280N24292,NA,NH,1875,1875,10,8,0,26.5,-69.4,90,2,280.0
1875285N27285,NA,NH,1875,1875,10,14,0,31.9,-74.8,70,1,286.0
1876253N39299,NA,NH,1876,1876,9,9,0,39.0,-60.8,80,1,252.0
1876254N15320,NA,NH,1876,1876,9,13,0,18.0,-63.4,100,3,256.0
