sid,season,basin,wdiff,adt_lmi,ibt_lmi
1981256N10150,1981.0,WP,11.969697,140.0,120.0
1981266N09151,1981.0,WP,-7.5,150.0,150.0
1981319N07163,1981.0,WP,10.405405,160.0,135.0
1982202N11165,1982.0,WP,-1.4444444,130.0,140.0
1982229N09154,1982.0,WP,-2.5,125.0,125.0
1982262N11258,1982.0,EP,3.6206896,150.0,125.0
1982272N11156,1982.0,WP,-4.5588236,145.0,140.0
1982283N17148,1982.0,WP,12.5,140.0,115.0
1983160N11266,1983.0,EP,11.184211,130.0,115.0
1983208N11265,1983.0,EP,-10.119047,125.0,115.0
1983212N06151,1983.0,WP,-9.693877,150.0,145.0
1983239N10183,1983.0,WP,4.056604,130.0,125.0
1983243N12259,1983.0,EP,1.3888888,150.0,125.0
1983259N08161,1983.0,WP,-17.419355,130.0,150.0
1983281N12256,1983.0,EP,-2.0,140.0,125.0
1983285N09260,1983.0,EP,10.151515,140.0,115.0
1983299N07172,1983.0,WP,10.4838705,160.0,145.0
1983317N12153,1983.0,WP,9.90196,160.0,125.0
1983339S10065,1984.0,SI,-13.194445,115.0,130.0
1984077S12149,1984.0,SP,10.384615,145.0,125.0
1984177N10254,1984.0,EP,-0.41666666,120.0,125.0
1984180N10258,1984.0,EP,0.3409091,120.0,115.0
1984239N08146,1984.0,WP,-13.125,125.0,125.0
1984259N19245,1984.0,EP,-2.6086957,145.0,115.0
1984290N06153,1984.0,WP,-4.1666665,135.0,120.0
1984294N04163,1984.0,WP,-3.9705882,155.0,155.0
1984302N00149,1984.0,WP,5.645161,130.0,120.0
1984313N14154,1984.0,WP,-2.8947368,160.0,130.0
1985060S11112,1985.0,SI,-13.939394,135.0,115.0
1985070S17175,1985.0,SP,0.6896552,155.0,135.0
1985078S14138,1985.0,SP,5.5208335,130.0,120.0
1985201N12256,1985.0,EP,1.7567568,120.0,115.0
1985202N13226,1985.0,EP,-5.4,120.0,115.0
1985244N14254,1985.0,EP,5.6666665,145.0,125.0
1985260N13336,1985.0,NA,-9.224138,115.0,125.0
1985284N05159,1985.0,WP,7.3076925,160.0,150.0
1986029S13069,1986.0,SI,-11.32653,115.0,115.0
1986179N11175,1986.0,WP,-5.4411764,155.0,140.0
1986198N10245,1986.0,EP,7.875,125.0,115.0
1986259N07170,1986.0,WP,-7.3913045,135.0,120.0
1986289N10267,1986.0,EP,3.3333333,135.0,125.0
1987244N11177,1987.0,WP,0.6779661,145.0,140.0
1987247N09150,1987.0,WP,0.08928572,135.0,125.0
1987253N11260,1987.0,EP,-2.9310346,145.0,135.0
1987279N12256,1987.0,EP,-6.6666665,120.0,120.0
1987288N13168,1987.0,WP,1.1111112,145.0,140.0
1987320N03171,1987.0,WP,-3.508772,150.0,145.0
1988006S05182,1988.0,SP,7.03125,145.0,140.0
1988072S08088,1988.0,SI,3.877551,130.0,130.0
