season,ibt,adt,both,ibt_rec_only,adt_rec_only,ibt_lmi_only,adt_lmi_only
1981,0,2,0,0,0,0,2
1982,1,7,1,0,0,0,6
1983,5,6,5,0,0,0,1
1984,4,4,3,0,0,1,1
1985,3,6,3,0,0,0,3
1986,3,2,2,0,0,1,0
1987,2,4,2,0,0,0,2
1988,2,1,1,0,0,1,0
1989,2,2,2,0,0,0,0
1990,4,5,4,0,0,0,1
1991,2,4,2,0,0,0,2
1992,7,7,7,0,0,0,0
1993,7,6,5,0,0,2,1
1994,5,4,4,0,0,1,0
1995,3,3,3,0,0,0,0
1996,1,1,0,0,0,1,1
1997,6,6,6,0,0,0,0
1998,3,5,3,0,0,0,2
1999,1,1,1,0,0,0,0
2000,1,1,1,0,0,0,0
2001,1,1,1,0,0,0,0
2002,4,4,4,0,0,0,0
2003,0,1,0,0,0,0,1
2004,2,2,2,0,0,0,0
2005,1,2,1,0,0,0,1
2006,3,4,2,1,1,0,1
2007,1,1,1,0,0,0,0
2008,1,2,1,0,0,0,1
2009,3,4,3,0,0,0,1
2010,1,1,1,0,0,0,0
2011,5,6,5,0,0,0,1
2012,1,3,1,0,0,0,2
2013,0,1,0,0,0,0,1
2014,5,6,5,0,0,0,1
2015,10,11,10,0,0,0,1
2016,5,3,3,0,0,2,0
2017,2,2,2,0,0,0,0
