season,ibt,adt,both,ibt_rec_only,adt_rec_only,ibt_lmi_only,adt_lmi_only
1981,1,0,0,0,0,1,0
1982,1,0,0,0,0,1,0
1983,0,0,0,0,0,0,0
1984,1,0,0,0,0,1,0
1985,1,2,1,0,0,0,1
1986,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0
1988,3,3,3,0,0,0,0
1989,2,2,2,0,0,0,0
1990,0,0,0,0,0,0,0
1991,1,1,1,0,0,0,0
1992,1,1,1,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0
1995,3,3,1,1,1,1,1
1996,2,3,2,0,0,0,1
1997,0,1,0,0,0,0,1
1998,2,3,2,0,0,0,1
1999,5,4,4,0,0,1,0
2000,2,2,2,0,0,0,0
2001,2,1,1,0,0,1,0
2002,1,2,1,0,0,0,1
2003,2,2,2,0,0,0,0
2004,4,4,3,0,0,1,1
2005,5,5,5,0,0,0,0
2006,0,1,0,0,0,0,1
2007,2,2,2,0,0,0,0
2008,4,3,3,0,0,1,0
2009,1,1,1,0,0,0,0
2010,4,3,2,0,0,2,1
2011,2,2,1,0,0,1,1
2012,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0
2014,1,1,1,0,0,0,0
2015,1,1,1,0,0,0,0
2016,2,2,2,0,0,0,0
2017,4,3,3,0,0,1,0
