season,ibt,adt,both,ibt_rec_only,adt_rec_only,ibt_lmi_only,adt_lmi_only
1981,1,0,0,0,0,1,0
1982,1,0,0,0,0,1,0
1983,0,0,0,0,0,0,0
1984,1,4,1,0,0,0,3
1985,1,1,1,0,0,0,0
1986,1,3,1,0,0,0,2
1987,0,0,0,0,0,0,0
1988,2,1,1,0,0,1,0
1989,3,3,2,0,0,1,1
1990,2,5,2,0,0,0,3
1991,1,1,1,0,0,0,0
1992,6,4,4,0,0,2,0
1993,1,2,1,0,0,0,1
1994,3,3,3,0,0,0,0
1995,2,4,1,0,0,1,3
1996,5,3,2,0,0,3,1
1997,3,2,2,0,0,1,0
1998,2,0,0,0,0,2,0
1999,4,3,3,0,0,1,0
2000,7,5,5,0,0,2,0
2001,1,1,0,0,0,1,1
2002,5,5,5,0,0,0,0
2003,3,4,2,0,0,1,2
2004,4,1,1,0,0,3,0
2005,2,1,1,0,0,1,0
2006,3,3,3,0,0,0,0
2007,4,4,3,0,0,1,1
2008,3,4,2,0,0,1,2
2009,2,1,1,0,0,1,0
2010,4,2,2,0,0,2,0
2011,0,0,0,0,0,0,0
2012,2,2,2,0,0,0,0
2013,3,3,2,0,0,1,1
2014,6,5,3,1,1,2,1
2015,4,4,4,0,0,0,0
2016,3,1,1,1,0,1,0
2017,2,2,0,2,2,0,0
