season,ibt,adt,both,ibt_rec_only,adt_rec_only,ibt_lmi_only,adt_lmi_only
1981,0,0,0,0,0,0,0
1982,0,4,0,0,1,0,3
1983,0,5,0,0,0,0,5
1984,1,1,1,0,0,0,0
1985,2,3,2,0,0,0,1
1986,0,0,0,0,0,0,0
1987,0,3,0,0,0,0,3
1988,1,2,1,0,0,0,1
1989,2,2,2,0,0,0,0
1990,1,1,1,0,0,0,0
1991,0,0,0,0,0,0,0
1992,3,4,3,0,0,0,1
1993,3,5,3,0,0,0,2
1994,2,3,1,0,0,1,2
1995,0,1,0,0,0,0,1
1996,0,0,0,0,0,0,0
1997,2,0,0,0,0,2,0
1998,2,2,2,0,0,0,0
1999,1,1,1,0,0,0,0
2000,0,1,0,0,0,0,1
2001,0,1,0,0,0,0,1
2002,0,1,0,0,0,0,1
2003,4,5,4,0,0,0,1
2004,1,0,0,0,0,1,0
2005,4,3,3,0,0,1,0
2006,2,1,1,0,0,1,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,1,1,1,0,0,0,0
2010,3,3,3,0,0,0,0
2011,3,2,1,0,0,2,1
2012,1,1,1,0,0,0,0
2013,1,3,1,0,0,0,2
2014,2,2,2,0,0,0,0
2015,2,2,2,0,0,0,0
2016,2,2,2,0,0,0,0
2017,1,1,0,1,1,0,0
