,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1981,0,0,0,0,0,0,0,0,0,0,0,1
1982,0,0,1,2,0,0,0,0,0,0,0,0
1983,1,2,1,1,0,0,0,0,0,0,0,1
1984,0,1,2,1,0,0,0,0,0,0,0,0
1985,1,0,3,0,0,0,0,0,0,0,0,0
1986,1,1,1,0,0,0,0,0,0,0,0,1
1987,1,1,0,0,0,0,0,0,0,0,0,0
1988,1,0,2,0,0,0,0,0,0,0,0,0
1989,0,2,1,2,0,0,0,0,0,0,0,1
1990,1,1,3,0,0,0,0,0,0,0,1,0
1991,1,0,0,0,0,0,0,0,0,0,0,2
1992,1,1,2,2,0,0,0,0,0,0,0,1
1993,2,2,1,1,0,0,0,0,0,0,0,0
1994,3,0,3,0,0,0,0,0,0,0,1,1
1995,1,1,0,2,0,0,0,0,0,0,0,1
1996,1,0,0,1,0,0,0,0,0,0,0,1
1997,1,0,0,0,0,0,0,0,0,0,0,0
1998,2,0,0,0,0,0,0,0,0,0,0,1
1999,1,0,2,0,0,0,0,0,0,0,0,1
2000,0,2,1,2,0,0,0,0,0,0,0,1
2001,0,0,1,0,0,0,0,0,0,0,0,1
2002,1,3,1,0,0,0,0,0,0,0,0,2
2003,2,2,3,0,0,0,0,0,0,0,0,0
2004,0,0,1,0,0,0,0,0,0,0,0,0
2005,0,2,1,1,0,0,0,0,0,0,1,0
2006,0,1,2,1,0,0,0,0,0,0,0,1
2007,0,2,1,0,0,0,0,0,0,0,0,0
2008,0,2,2,0,0,0,0,0,0,0,0,0
2009,0,1,1,0,0,0,0,0,0,0,0,1
2010,1,1,2,0,0,0,0,0,0,0,0,0
2011,1,1,0,0,0,0,0,0,0,0,0,0
2012,1,2,0,0,0,0,0,0,0,0,0,2
2013,2,1,1,0,0,0,0,0,0,0,0,3
2014,1,0,2,1,0,0,0,0,0,0,0,0
2015,2,1,1,2,0,0,0,0,0,0,0,0
2016,1,1,0,1,0,0,0,0,0,0,0,0
2017,0,0,2,1,1,0,0,0,0,0,0,0
