SID,BASIN,ISO_TIME,LAT,LON,WIND
2004223N11301,NA,2004-08-09 00:00:00,11.4,-59.2,25.0
2004223N11301,NA,2004-08-09 06:00:00,11.4,-59.2,25.0
2004223N11301,NA,2004-08-09 12:00:00,11.4,-59.2,25.0
2004223N11301,NA,2004-08-09 18:00:00,11.7,-61.1,30.0
2004223N11301,NA,2004-08-10 00:00:00,12.2,-63.2,30.0
2004223N11301,NA,2004-08-10 06:00:00,12.9,-65.3,40.0
2004223N11301,NA,2004-08-10 12:00:00,13.05,-67.65,50.0
2004223N11301,NA,2004-08-10 18:00:00,14.9,-69.8,40.0
2004223N11301,NA,2004-08-11 00:00:00,15.6,-71.8,35.0
2004223N11301,NA,2004-08-11 06:00:00,16.15,-72.71,45.0
2004223N11301,NA,2004-08-11 12:00:00,16.3,-75.4,55.0
2004223N11301,NA,2004-08-11 18:00:00,16.65,-76.85,65.0
2004223N11301,NA,2004-08-12 00:00:00,17.95,-77.73,
2004223N11301,NA,2004-08-12 06:00:00,18.45,-79.25,60.0
2004223N11301,NA,2004-08-12 12:00:00,19.2,-80.7,60.0
2004223N11301,NA,2004-08-12 18:00:00,20.35,-81.65,65.0
2004223N11301,NA,2004-08-13 00:00:00,21.75,-82.36,65.0
2004223N11301,NA,2004-08-13 06:00:00,23.05,-82.55,
2004223N11301,NA,2004-08-13 12:00:00,24.45,-82.74,65.0
2004223N11301,NA,2004-08-13 18:00:00,25.95,-82.34,60.0
2004223N11301,NA,2004-08-14 00:00:00,28.15,-81.54,
2004223N11301,NA,2004-08-14 06:00:00,30.05,-80.74,45.0
2004223N11301,NA,2004-08-14 12:00:00,32.3,-79.7,45.0
2004223N11301,NA,2004-08-14 18:00:00,34.5,-78.1,
2004223N11301,NA,2004-08-15 00:00:00,36.9,-75.9,30.0
2004223N11301,NA,2004-08-15 06:00:00,39.3,-73.8,30.0
2004223N11301,NA,2004-08-15 12:00:00,41.2,-71.1,35.0
2004223N11301,NA,2004-08-15 18:00:00,41.2,-71.1,35.0
2004223N11301,NA,2004-08-16 00:00:00,41.2,-71.1,35.0
