SID,BASIN,ISO_TIME,LAT,LON,WIND
2013052S13126,SI,2013-02-21 00:00:00,-13.03,125.89,25.0
2013052S13126,SI,2013-02-21 06:00:00,-13.03,125.89,25.0
2013052S13126,SI,2013-02-21 12:00:00,-13.35,124.59,30.0
2013052S13126,SI,2013-02-21 18:00:00,-13.68,123.3,35.0
2013052S13126,SI,2013-02-22 00:00:00,-14.0,122.0,35.0
2013052S13126,SI,2013-02-22 06:00:00,-14.4,121.12,35.0
2013052S13126,SI,2013-02-22 12:00:00,-14.8,120.24,45.0
2013052S13126,SI,2013-02-22 18:00:00,-15.21,119.36,45.0
2013052S13126,SI,2013-02-23 00:00:00,-15.51,118.48,50.0
2013052S13126,SI,2013-02-23 06:00:00,-15.75,118.29,65.0
2013052S13126,SI,2013-02-23 12:00:00,-16.03,118.15,45.0
2013052S13126,SI,2013-02-23 18:00:00,-16.47,118.1,45.0
2013052S13126,SI,2013-02-24 00:00:00,-16.82,118.15,50.0
2013052S13126,SI,2013-02-24 06:00:00,-17.03,118.18,50.0
2013052S13126,SI,2013-02-24 12:00:00,-17.3,118.24,40.0
2013052S13126,SI,2013-02-24 18:00:00,-17.41,118.46,60.0
2013052S13126,SI,2013-02-25 00:00:00,-17.67,118.8,65.0
2013052S13126,SI,2013-02-25 06:00:00,-16.99,119.19,55.0
2013052S13126,SI,2013-02-25 12:00:00,-17.85,118.25,70.0
2013052S13126,SI,2013-02-25 18:00:00,-17.7,119.41,90.0
2013052S13126,SI,2013-02-26 00:00:00,-18.65,118.89,80.0
2013052S13126,SI,2013-02-26 06:00:00,-18.65,118.2,75.0
2013052S13126,SI,2013-02-26 12:00:00,-18.6,119.81,120.0
2013052S13126,SI,2013-02-26 18:00:00,-19.1,119.31,130.0
2013052S13126,SI,2013-02-27 00:00:00,-18.7,119.35,130.0
2013052S13126,SI,2013-02-27 06:00:00,-19.55,119.34,95.0
2013052S13126,SI,2013-02-27 12:00:00,-20.25,119.96,
2013052S13126,SI,2013-02-27 18:00:00,-20.95,120.74,
2013052S13126,SI,2013-02-28 00:00:00,-22.09,121.15,
2013052S13126,SI,2013-02-28 06:00:00,-22.71,121.61,
2013052S13126,SI,2013-02-28 12:00:00,-23.0,120.74,
2013052S13126,SI,2013-02-28 18:00:00,-24.0,121.0,
2013052S13126,SI,2013-03-01 00:00:00,-26.0,121.0,
