SID,SEASON,BASIN,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS
2013052S13126,2013,SI,2013-02-21 06:00:00,-13.0,125.9,,-5
2013052S13126,2013,SI,2013-02-21 09:00:00,-13.2,125.2,,-5
2013052S13126,2013,SI,2013-02-21 12:00:00,-13.4,124.6,,-5
2013052S13126,2013,SI,2013-02-21 15:00:00,-13.5,123.9,,-5
2013052S13126,2013,SI,2013-02-21 18:00:00,-13.7,123.3,,-5
2013052S13126,2013,SI,2013-02-21 21:00:00,-14.0,122.5,,-5
2013052S13126,2013,SI,2013-02-22 00:00:00,-14.0,122.0,,-5
2013052S13126,2013,SI,2013-02-22 03:00:00,-13.3,122.3,,-5
2013052S13126,2013,SI,2013-02-22 06:00:00,-14.4,121.1,,-5
2013052S13126,2013,SI,2013-02-22 09:00:00,-13.7,121.1,,-5
2013052S13126,2013,SI,2013-02-22 12:00:00,-14.8,120.2,,-5
2013052S13126,2013,SI,2013-02-22 15:00:00,-15.2,119.7,,-5
2013052S13126,2013,SI,2013-02-22 18:00:00,-15.2,119.4,,-5
2013052S13126,2013,SI,2013-02-22 21:00:00,-15.4,118.9,,-5
2013052S13126,2013,SI,2013-02-23 00:00:00,-15.5,118.5,25.0,-1
2013052S13126,2013,SI,2013-02-23 03:00:00,-15.6,118.3,25.0,-1
2013052S13126,2013,SI,2013-02-23 06:00:00,-15.8,118.3,25.0,-1
2013052S13126,2013,SI,2013-02-23 09:00:00,-15.9,118.2,25.0,-1
2013052S13126,2013,SI,2013-02-23 12:00:00,-16.0,118.2,25.0,-1
2013052S13126,2013,SI,2013-02-23 15:00:00,-16.2,118.1,28.0,-1
2013052S13126,2013,SI,2013-02-23 18:00:00,-16.5,118.1,30.0,-1
2013052S13126,2013,SI,2013-02-23 21:00:00,-16.7,118.1,30.0,-1
2013052S13126,2013,SI,2013-02-23 22:08:00,-16.7,118.1,30.0,-1
2013052S13126,2013,SI,2013-02-24 00:00:00,-16.8,118.2,30.0,-1
2013052S13126,2013,SI,2013-02-24 03:00:00,-16.9,118.2,33.0,-1
2013052S13126,2013,SI,2013-02-24 06:00:00,-17.0,118.2,35.0,0
2013052S13126,2013,SI,2013-02-24 09:00:00,-17.2,118.2,40.0,0
2013052S13126,2013,SI,2013-02-24 10:40:00,-17.2,118.2,43.0,0
2013052S13126,2013,SI,2013-02-24 12:00:00,-17.3,118.2,45.0,0
2013052S13126,2013,SI,2013-02-24 15:00:00,-17.4,118.4,48.0,0
2013052S13126,2013,SI,2013-02-24 18:00:00,-17.4,118.5,50.0,0
2013052S13126,2013,SI,2013-02-24 21:00:00,-17.5,118.2,55.0,0
2013052S13126,2013,SI,2013-02-24 21:50:00,-17.5,118.6,56.0,0
2013052S13126,2013,SI,2013-02-24 21:54:00,-17.5,118.6,57.0,0
2013052S13126,2013,SI,2013-02-25 00:00:00,-17.7,118.8,60.0,0
2013052S13126,2013,SI,2013-02-25 03:00:00,-17.8,118.9,63.0,0
2013052S13126,2013,SI,2013-02-25 06:00:00,-18.0,119.0,65.0,1
2013052S13126,2013,SI,2013-02-25 07:50:00,-18.1,119.1,67.0,1
2013052S13126,2013,SI,2013-02-25 09:00:00,-18.2,119.2,68.0,1
2013052S13126,2013,SI,2013-02-25 10:22:00,-18.3,119.2,69.0,1
2013052S13126,2013,SI,2013-02-25 12:00:00,-18.4,119.3,70.0,1
2013052S13126,2013,SI,2013-02-25 15:00:00,-18.6,119.3,73.0,1
2013052S13126,2013,SI,2013-02-25 18:00:00,-18.8,119.3,75.0,1
2013052S13126,2013,SI,2013-02-25 21:00:00,-18.9,119.2,75.0,1
2013052S13126,2013,SI,2013-02-25 21:41:00,-18.9,119.2,75.0,1
2013052S13126,2013,SI,2013-02-26 00:00:00,-19.0,119.2,75.0,1
2013052S13126,2013,SI,2013-02-26 03:00:00,-19.1,119.1,75.0,1
2013052S13126,2013,SI,2013-02-26 06:00:00,-19.2,119.1,75.0,1
2013052S13126,2013,SI,2013-02-26 09:00:00,-19.2,119.1,80.0,1
2013052S13126,2013,SI,2013-02-26 12:00:00,-19.3,119.1,85.0,2
2013052S13126,2013,SI,2013-02-26 15:00:00,-19.3,119.1,93.0,2
2013052S13126,2013,SI,2013-02-26 18:00:00,-19.3,119.2,100.0,3
2013052S13126,2013,SI,2013-02-26 21:00:00,-19.3,119.2,98.0,3
2013052S13126,2013,SI,2013-02-27 00:00:00,-19.3,119.3,95.0,2
2013052S13126,2013,SI,2013-02-27 03:00:00,-19.6,119.4,93.0,2
2013052S13126,2013,SI,2013-02-27 06:00:00,-19.8,119.5,90.0,2
2013052S13126,2013,SI,2013-02-27 07:00:00,-19.9,119.5,87.0,2
2013052S13126,2013,SI,2013-02-27 08:00:00,-19.9,119.6,85.0,2
2013052S13126,2013,SI,2013-02-27 09:00:00,-20.0,119.6,83.0,2
2013052S13126,2013,SI,2013-02-27 09:45:00,-20.0,119.7,81.0,1
2013052S13126,2013,SI,2013-02-27 12:00:00,-20.2,119.8,75.0,1
2013052S13126,2013,SI,2013-02-27 15:00:00,-20.3,120.0,70.0,1
2013052S13126,2013,SI,2013-02-27 18:00:00,-20.6,120.2,65.0,1
2013052S13126,2013,SI,2013-02-27 21:00:00,-21.0,120.3,55.0,0
2013052S13126,2013,SI,2013-02-28 00:00:00,-21.2,120.5,45.0,0
2013052S13126,2013,SI,2013-02-28 03:00:00,-21.6,120.6,40.0,0
2013052S13126,2013,SI,2013-02-28 06:00:00,-22.1,120.7,35.0,0
2013052S13126,2013,SI,2013-02-28 09:00:00,-22.5,120.7,,-5
2013052S13126,2013,SI,2013-02-28 12:00:00,-23.0,120.7,,-5
2013052S13126,2013,SI,2013-02-28 15:00:00,-23.4,120.9,,-5
2013052S13126,2013,SI,2013-02-28 18:00:00,-24.0,121.0,,-5
2013052S13126,2013,SI,2013-02-28 21:00:00,-24.9,121.0,,-5
2013052S13126,2013,SI,2013-03-01 00:00:00,-26.0,121.0,,-5
