,adt_na,adt_ep,adt_wp,adt_sp,adt_si,ibt_na,ibt_ep,ibt_wp,ibt_sp,ibt_si
1981,,252.25,270.5,,,257.0,,270.0,,283.75
1982,,225.5,269.25,261.5,,260.0,263.75,226.875,,195.75
1983,,260.875,267.75,242.5,,,245.75,256.625,,
1984,,223.75,299.5,265.25,246.0,255.0,201.625,297.125,265.25,162.5
1985,295.375,227.625,275.75,258.25,251.75,267.25,204.5,288.5,261.75,252.0
1986,,246.375,266.5,,218.75,,236.0,227.0,,218.5
1987,,259.5,258.875,201.75,,,268.25,244.25,,
1988,266.0,215.25,264.5,219.125,263.25,266.75,215.375,277.5,194.0,237.75
1989,252.5,263.75,277.5,252.375,269.0,252.375,264.0,277.25,252.5,236.5
1990,,253.0,293.0,217.75,248.0,,260.75,286.5,218.25,217.375
1991,249.5,241.125,280.0,,212.75,249.5,269.375,279.75,,212.75
1992,237.75,249.25,281.0,217.875,263.75,235.75,249.0,250.0,243.25,244.625
1993,,226.5,254.75,221.25,243.375,,230.5,244.25,221.75,279.0
1994,,219.0,262.625,209.25,256.5,,234.25,262.25,212.875,255.75
1995,249.0,193.25,277.625,291.75,222.875,246.25,193.75,277.625,,278.625
1996,255.25,255.0,254.75,,192.5,246.625,213.0,250.75,,242.75
1997,250.25,246.375,252.0,,181.0,,246.375,251.75,219.5,205.25
1998,262.0,212.75,285.5,188.5,,280.5,213.25,272.375,188.375,217.75
1999,256.375,221.5,263.75,200.0,264.0,255.25,223.0,264.25,200.0,268.125
2000,273.0,172.25,243.5,240.0,246.25,273.0,172.25,233.75,,246.25
2001,306.25,268.0,240.0,243.75,159.75,294.125,267.25,268.375,,188.75
2002,269.625,239.5,199.5,183.5,221.75,275.0,239.5,226.75,,219.5
2003,248.375,276.5,294.75,212.0,235.5,248.75,,252.0,217.125,250.25
2004,258.25,251.25,235.75,,249.5,249.25,251.25,243.5,188.0,256.875
2005,239.5,261.25,259.125,231.75,282.75,239.75,260.5,242.5,229.5,268.25
2006,261.25,239.625,259.125,296.25,266.0,,236.25,266.5,279.125,266.0
2007,238.75,222.5,258.375,,237.125,238.625,223.0,256.75,,226.125
2008,247.25,251.5,260.25,,242.125,268.25,281.75,266.5,,230.5
2009,230.25,266.25,274.875,249.75,221.0,230.25,242.75,274.625,249.75,212.25
2010,257.0,175.0,290.0,256.25,182.5,250.625,175.0,294.75,256.0,182.375
2011,241.75,239.875,224.0,207.875,,261.0,214.75,249.875,216.25,
2012,,193.0,246.875,221.75,217.625,,191.25,236.125,222.5,217.25
2013,,294.75,278.125,182.75,213.5,,,282.375,169.0,194.75
2014,288.5,241.875,218.5,238.875,182.5,288.5,235.75,218.5,238.875,189.875
2015,274.0,241.25,234.5,244.625,246.25,275.5,240.75,230.5,244.5,246.5
2016,280.25,243.0,265.75,213.5,291.75,280.125,242.25,270.0,213.625,260.25
2017,249.0,213.625,251.75,269.75,264.5,249.25,213.625,256.0,269.5,264.75
